wave_number,items,patial,max_patial,date_start,date_endzone,mhe,wave_type
171,2,1290,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
172,2,3000,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
173,12,2920,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
174,6,2995,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
175,7,2915,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
176,13,2730,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
177,10,2840,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
178,6,2870,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
179,9,2960,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
180,7,2630,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
181,7,2600,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
182,4,2840,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
183,8,5280,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
184,10,5280,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
185,9,5280,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
186,3,120,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
187,5,200,4400,03/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
188,6,240,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
189,63,1025,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
190,10,275,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
191,10,215,4400,07/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
192,1,40,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
193,4,125,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
194,4,130,4400,07/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
195,21,840,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
196,40,1600,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
197,30,1200,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
198,23,920,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
199,35,1400,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
200,44,1760,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
201,83,3320,4400,03/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
202,43,1720,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
203,35,1275,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
204,56,2075,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
205,42,1610,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
206,40,1360,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
207,66,2505,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
208,49,1945,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
209,33,1285,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
210,31,1175,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
211,27,1080,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
212,12,465,4400,03/10/2019,09/10/2019,NZONE04,PalletJack,NationalCase
213,2,80,4400,03/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
214,7,165,4400,07/10/2019,07/10/2019,NZONE04,PalletJack,NationalCase
215,4,160,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
216,11,1000,3000,02/10/2019,09/10/2019,NZONE04,PalletJack,NationalCase
217,12,2920,3000,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
218,12,1120,3000,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
219,15,1280,3000,03/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
220,18,1370,3000,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
221,2,1440,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
222,2,960,5760,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
223,15,3000,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
224,17,2950,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
225,12,2920,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
226,3,95,3000,01/10/2019,01/10/2019,NZONE04,PalletJack,NationalCase
227,3,235,3000,01/10/2019,01/10/2019,NZONE04,PalletJack,NationalCase
228,1,240,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
229,1,60,5760,01/10/2019,01/10/2019,NZONE04,PalletJack,NationalCase
230,3,120,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
231,1,25,4400,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
232,1,5,4400,04/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
233,3,1920,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
234,2,1440,5760,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
235,9,5760,5760,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
236,4,2880,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
237,9,5760,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
238,9,5760,5760,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
239,6,3360,5760,02/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
240,8,4320,5760,10/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
241,9,5760,5760,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
242,11,5760,5760,10/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
243,5,2400,5760,02/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
244,10,5760,5760,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
245,1,960,5760,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
246,10,4800,5760,03/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
247,12,5760,5760,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
248,1,480,5760,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
249,1,120,5760,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
250,12,5760,5760,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
251,6,5760,5760,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
252,6,5760,5760,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
253,5,2400,5760,02/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
254,9,5760,5760,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
255,10,4800,5760,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
256,4,1920,5760,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
257,3,1440,5760,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
258,3,120,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
259,6,240,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
260,16,640,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
261,17,680,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
262,32,1280,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
263,14,560,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
264,14,560,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
265,82,3280,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
266,18,720,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
267,23,905,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
268,24,930,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
269,33,1160,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
270,15,600,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
271,40,1600,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
272,39,1545,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
273,31,1240,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
274,23,920,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
275,37,1480,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
276,6,210,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
277,1,40,4400,02/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
278,4,160,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
